name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Kaepora Gaebora,,Neuter,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Four Swords Adventures,Kaepora Gaebora  is a recurring character in The Legend of Zelda series. ,True,no_race_but_recurring,yes,yes,A
Flat,,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Flat is a recurring character in The Legend of Zelda series. ,True,no_race,yes,yes,A
Gorman,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,2,The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap,Gorman is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
Great Fairy of Courage,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Courage is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
Great Fairy of Power,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Power is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
Great Fairy of Wisdom,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Wisdom is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
King of Red Lions,,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures,The King of Red Lions is a recurring character in The Legend of Zelda series. ,True,no_race,yes,yes,S
Linebeck,Hylian,Male,The Legend of Zelda: Phantom Hourglass,2007,2,The Legend of Zelda: Phantom Hourglass; The Legend of Zelda: Spirit Tracks,Linebeck is a recurring character in The Legend of Zelda series. ,False,,yes,yes,S
Maku Tree,,Male,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,The Maku Tree is a recurring character in The Legend of Zelda series. ,True,no_race,yes,yes,A
Pierre,Scarecrow,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Pierre is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
Poe Collector, ,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Poe Collector is a recurring character in The Legend of Zelda series. ,True,no_race,yes,yes,A
Queen Ambi,Human,Female,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,Queen Ambi is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
Sharp,,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Sharp is a recurring character in The Legend of Zelda series. ,True,no_race,yes,yes,A
Ciela,Fairy,Female,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,Ciela is Link's Fairy companion in Phantom Hourglass. ,False,,yes,yes,A
Daphnes Nohansen Hyrule,Hylian,Male,Hyrule Warriors,2014,1,Hyrule Warriors,"Daphnes Nohansen Hyrule, also known as King Daphnes, is a recurring character in The Legend of Zelda series. ",False,,yes,yes,S
Darbus,Goron,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Darbus is a character in Twilight Princess. ,True,minimal_description,yes,yes,A
Darmani III,Goron,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Darmani III, also known as Darmani the Third, is a character in Majora's Mask. ",False,,yes,yes,A
Daruk,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Daruk is a character in Breath of the Wild. ,True,minimal_description,yes,yes,S
Deku Butler,Deku Scrub,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Deku Butler is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Deku King,Deku Scrub,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,The Deku King is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Dinraal,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Dinraal is a Dragon in Breath of the Wild. ,True,no_race; minimal_description,yes,yes,A
Dorian,Sheikah,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Dorian is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Evan,Zora,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Evan is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Gustaf,Hylian,Male,The Legend of Zelda: The Minish Cap,2005,1,The Legend of Zelda: The Minish Cap,Gustaf is a character featured in The Minish Cap. ,False,,yes,yes,A
Hero of Light,Human,,The Legend of Zelda: Four Swords Adventures,2004,1,The Legend of Zelda: Four Swords Adventures,The Hero of Light is a recurring title in The Legend of Zelda series. ,False,,yes,yes,A
Hestu,Korok,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hestu is a character in Breath of the Wild. ,True,minimal_description,yes,yes,S
Horned Statue,,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Horned Statue is a character in Breath of the Wild. ,True,no_race,yes,yes,A
Hudson,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Hudson is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Ilia,Human,Female,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Ilia is a character in Twilight Princess. ,True,minimal_description,yes,yes,A
Jovani,Hylian,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Jovani is a character in Twilight Princess. ,True,minimal_description,yes,yes,A
Kaneli,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kaneli is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Kass,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kass is a character of the Rito tribe in Breath of the Wild. ,False,,yes,yes,S
Kaysa,Great Fairy,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Kaysa is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
King Dorephan,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,"King Dorephan is a character in Breath of the Wild. He is the ruler of the Zora, and the father of Mipha and Sidon. ",False,,yes,yes,A
Komali,Rito,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Komali, also known as Prince Komali, is a character in The Wind Waker. ",False,,yes,yes,A
Lulu,Zora,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Lulu is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Madame Aroma,Hylian,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Madame Aroma is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Makar,Korok,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,Makar is a character in The Wind Waker. ,True,minimal_description,yes,yes,A
Malanya,,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Malanya is a character in Breath of the Wild. ,True,no_race; minimal_description,yes,yes,A
Mido,Kokiri,Male,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,Mido is a character in Ocarina of Time. He is the moody leader of the Kokiri. ,False,,yes,yes,A
Muzu,Zora,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Muzu is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Naydra,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Naydra is a Dragon in Breath of the Wild. ,True,no_race; minimal_description,yes,yes,A
Paya,Sheikah,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Paya is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Prince Ralis,Zora,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Prince Ralis is a character in Twilight Princess. ,False,,yes,yes,A
Princess Styla,Human,Female,The Legend of Zelda: Tri Force Heroes,2015,1,The Legend of Zelda: Tri Force Heroes,"Princess Styla  is the cursed daughter of King Tuft, sovereign of Hytopia in Tri Force Heroes. ",False,,yes,yes,A
Purah,Sheikah,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Purah is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Revali,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Revali is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Riju,Gerudo,Female,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Makeela Riju is a character in Breath of the Wild. ,False,,yes,yes,A
Robbie,Sheikah,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Robbie is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Romani,Hylian,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Romani is a character in Majora's Mask. ,True,minimal_description,yes,yes,A
Rusl,Human,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Rusl is a character in Twilight Princess. ,True,minimal_description,yes,yes,A
Shad,Hylian,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,Shad is a character in Twilight Princess. ,True,minimal_description,yes,yes,A
Tulin,Rito,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Tulin is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Yunobo,Goron,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Yunobo is a character in Breath of the Wild. ,True,minimal_description,yes,yes,A
Link (The Legend of Zelda),Hylian,Male,The Legend of Zelda,1986,2,The Legend of Zelda; Zelda II: The Adventure of Link,The Link who appears in the original The Legend of Zelda and Zelda II: The Adventure of Link.,False,,yes,yes,S
Hero of Legend,Hylian,Male,The Legend of Zelda: A Link to the Past,1992,2,The Legend of Zelda: A Link to the Past; The Legend of Zelda: Link's Awakening,"The Link of the Era of Legend, known as the Hero of Legend in A Link to the Past and Link's Awakening.",False,,yes,yes,S
Hero of Time,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Hero of Time: the Link of Ocarina of Time and Majora's Mask.,False,,yes,yes,S
Hero of Winds,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Phantom Hourglass,The Hero of Winds: the Toon Link of The Wind Waker and Phantom Hourglass.,False,,yes,yes,S
Hero of Twilight,Hylian,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,The Hero of Twilight: the Link of Twilight Princess (Wolf Link).,False,,yes,yes,S
Hero of the Sky,Hylian,Male,The Legend of Zelda: Skyward Sword,2011,1,The Legend of Zelda: Skyward Sword,The Hero of the Sky: the Link of Skyward Sword.,False,,yes,yes,S
Link (Oracle),Hylian,Male,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,The Link who appears in Oracle of Seasons and Oracle of Ages.,False,,yes,yes,A
Link (Four Swords / The Minish Cap),Hylian,Male,The Legend of Zelda: Four Swords,2002,2,The Legend of Zelda: Four Swords; The Legend of Zelda: The Minish Cap,The Four Swords and The Minish Cap incarnation of Link (separate from the Hero of Light entry in Four Swords Adventures).,False,,yes,yes,A
Link (Spirit Tracks),Hylian,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,The Link who appears in Spirit Tracks.,False,,yes,yes,A
Link (A Link Between Worlds),Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Link who appears in A Link Between Worlds.,False,,yes,yes,A
Hero of the Wild,Hylian,Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Hero of the Wild: the Link of Breath of the Wild (and Tears of the Kingdom continuity).,False,,yes,yes,S
Skull Kid,,,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Twilight Princess,Skull Kids are recurring creatures in The Legend of Zelda series. Navi implies that children who wander into the Lost Woods become Skull Kids. One fir,True,no_race_but_recurring; likely_enemy; likely_item,yes,yes,A
Vaati, (after transforming),Male,The Legend of Zelda: Four Swords,2002,3,The Legend of Zelda: Four Swords; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap,"Vaati is recurring Boss in The Legend of Zelda series. Much like Ganondorf, he appears in both humanoid and monstrous forms, although the former only ",False,,yes,yes,A
Cawlin,Hylian,Male,The Legend of Zelda: Skyward Sword,2011,1,The Legend of Zelda: Skyward Sword,Cawlin is a character in Skyward Sword. ,True,minimal_description,yes,yes,A
Demise,Demon,Male,The Legend of Zelda: Skyward Sword,2011,1,The Legend of Zelda: Skyward Sword,"Demise is one of two primary antagonists in Skyward Sword, and serves as the Final Boss. Long ago, he and his horde of demons broke through a fissure ",False,,yes,yes,S
Hylia,,,,,0,,"Hylia , also known as The Goddess, and later Zelda, is a goddess featured in Skyward Sword. She is depicted throughout the world by both statues and i",True,no_games; no_race; likely_item,yes,yes,S
