name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Phantom Zelda,Phantom,Female,The Legend of Zelda: Spirit Tracks,2009,2,The Legend of Zelda: Spirit Tracks; The Legend of Zelda: Breath of the Wild,"Phantom Zelda is a recurring character in The Legend of Zelda series. Phantom Zelda goes unnamed in Breath of the Wild, Hyrule Warriors, and Super Sma",FALSE,,yes,yes,
Professor Shikashi,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Professor Shikashi is a recurring character in The Legend of Zelda series. Professor Shikashi goes unnamed in Ocarina of Time. ,FALSE,,yes,yes,
Red Juggler,Hylian,,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Red Juggler is a recurring character in The Legend of Zelda series. The Red Juggler goes unnamed in Ocarina of Time. ,FALSE,,yes,yes,
Toon Zelda,Hylian,Female,Hyrule Warriors,2014,2,Hyrule Warriors; Hyrule Warriors Legends,"Toon Zelda is a playable Warrior in Hyrule Warriors, appearing in the Phantom Hourglass &amp; Spirit Tracks DLC pack. Her design is based on Zelda's a",FALSE,,yes,yes,
Anjean,Lokomo,Female,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,"Anjean  is a character in Spirit Tracks. She is a member of the Lokomo people and the protector of the Tower of Spirits, the central hub of the Spirit",FALSE,,yes,yes,
Carben,Lokomo,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Carben is a character from Spirit Tracks. He is a member of the Lokomo race and Guardian of the Ocean Realm who resides in the Ocean Sanctuary. Like t,FALSE,,yes,yes,
Cargo,,,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Cargo is a mechanic in Spirit Tracks. It refers to Link's ability to transport goods from Station to Station in the Freight Car of the Spirit Train. ,TRUE,no_race,yes,yes,
Chiko,Human,,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,"Chiko is a young girl who appears in Freshly-Picked Tingle's Rosy Rupeeland. She lives in Port Town with her mother. When Tingle meets her, she tells ",FALSE,,yes,yes,
Craftsman,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"The Craftsman is a character in A Link Between Worlds. It is the name of two characters in Hyrule and Lorule, both who work for their worlds' respecti",FALSE,,yes,yes,
Darunia,Goron,Male,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"Darunia, also known as The Passionate Brother, is a recurring character in The Legend of Zelda series. He is the leader of the Hyrulean Gorons and the",FALSE,,yes,yes,
Dazzle Lyphos,Hyrulean (assumed),Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,"Dazzle Lyphos was a hero that lived long ago in Freshly-Picked Tingle's Rosy Rupeeland. He was the guardian of Port Town. Although he fought bravely, ",FALSE,,yes,yes,
Dion,,,The Legend of Zelda: Link's Awakening DX,1998,1,The Legend of Zelda: Link's Awakening DX,Dion is one of the skeletal guards of the Color Dungeon in Link's Awakening DX. Dion goes unnamed in Link's Awakening DX. ,TRUE,no_race,yes,yes,
Embrose,Lokomo,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Embrose is a character from Spirit Tracks. He is the Lokomo who guards the Fire Realm from within the Fire Sanctuary. Like the rest of the Lokomo peop,FALSE,,yes,yes,
Faux Hero,Human,Male,The Legend of Zelda: Tri Force Heroes,2015,1,The Legend of Zelda: Tri Force Heroes,"The Faux Hero is a character in Tri Force Heroes. He is a young boy who wishes to become Hytopia's hero, but does not have the right qualifications. H",FALSE,,yes,yes,
Fierce Deity Link,/,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Fierce Deity Link is one of the transformations Link turns into in Majora's Mask, achieved by wearing the Fierce Deity's Mask. This transforms him int",FALSE,,yes,yes,
Floodgate Keeper,Human,Male,The Legend of Zelda: Oracle of Seasons,2001,1,The Legend of Zelda: Oracle of Seasons,"The Floodgate Keeper is a man in Oracle of Seasons. He resides in the Spool Swamp, and is usually in possession of the Poison Moth's Lair's Floodgate ",FALSE,,yes,yes,
Gar,,,The Legend of Zelda: Link's Awakening DX,1998,1,The Legend of Zelda: Link's Awakening DX,Gar is one of the skeletal guards of the Color Dungeon in Link's Awakening DX. Gar goes unnamed in Link's Awakening DX. ,TRUE,no_race,yes,yes,
Gnash,Canine,,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Gnash is a small bodyguard with a smart personality found on the second continent of Freshly-Picked Tingle's Rosy Rupeeland. Another graduate of an el,FALSE,,yes,yes,
Gorman Troupe,,,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"The Gorman Troupe is group of carnival entertainers who were scheduled to perform at the Carnival of Time in Majora's Mask. However, since Lulu of The",TRUE,no_race,yes,yes,
Gramps,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"Gramps is a character that appears in A Link Between Worlds. He is an elderly citizen in charge of the game's StreetPass functionality, Shadow Link Ba",FALSE,,yes,yes,
Holly,Human,Female,The Legend of Zelda: Oracle of Seasons,2001,1,The Legend of Zelda: Oracle of Seasons,"Holly is a girl who resides in Woods of Winter in Oracle of Seasons. To get in the Snake's Remains, Link must acquire a Shovel from her. ",FALSE,,yes,yes,
Honey and Darling,Hylian,,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Honey and Darling  are characters in Majora's Mask. Honey is the woman with red hair, while Darling is the brown-haired man. ",FALSE,,yes,yes,
Irene,Hylian,Female,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Irene is one of the Seven Sages in A Link Between Worlds. She is the apprentice of the Witch who lives near Zora's Domain.  ,FALSE,,yes,yes,
Kane,,Male,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Kane is a sailor residing on Windfall Island in The Wind Waker. Kane will say different things, depending on the decorations above the gate of Windfal",TRUE,no_race,yes,yes,
Kenzo,Human,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,"Kenzo is a character in Spirit Tracks. He lives alone in an isolated abode within the Snow Realm. He is a bridge worker and, like many characters and ",FALSE,,yes,yes,
Killer Bees,,,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"The Killer Bees are a gang of four trouble-making boys who live on Windfall Island in The Wind Waker. The gang consists of the leader Ivan, Jin, Jan, ",TRUE,no_race,yes,yes,
King Rhoam,", ",Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,King Rhoam Bosphoramus Hyrule is a character in Breath of the Wild. He is the former King of Hyrule and the first person that Link encounters after aw,FALSE,,yes,yes,
King of Hyrule,Hylian,Male,Zelda II: The Adventure of Link,1987,1,Zelda II: The Adventure of Link,The King of Hyrule was a wise ruler of the kingdom of Hyrule long in its past that was featured in the backstory of The Adventure of Link. He was the ,FALSE,,yes,yes,
Laruto,Zora,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Laruto is the former Sage of Earth in The Wind Waker. She is a Zora, the only one of her race to appear in The Wind Waker. She was born in Zora's Doma",FALSE,,yes,yes,
Malladus,Demon,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Malladus is the primary antagonist of Spirit Tracks. He is a powerful demon that once terrorized the land that would eventually be home to the new kin,FALSE,,yes,yes,
Mighty Muscles,Human,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Mighty Muscles is a large bodyguard with a smart personality found on the first continent of Freshly-Picked Tingle's Rosy Rupeeland. He is a man with ,FALSE,,yes,yes,
Milk Bar Owner,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,The Milk Bar Owner is the name of two characters in A Link Between Worlds. They run the Milk Bars in their respective worlds of Hyrule and Lorule.  ,FALSE,,yes,yes,
Missy,,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Missy is a character in The Wind Waker. She is a resident of Windfall Island and the mother of Dampa the Sailor, and can mostly be found on the second",TRUE,no_race,yes,yes,
Monk,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,"The Monks are a group of characters in Breath of the Wild. They are ancient people who reside at the end of Ancient Shrines, awaiting the arrival of L",TRUE,no_race,yes,yes,
Nabooru,Gerudo,Female,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"Nabooru  is a character in Ocarina of Time. She is the second-in-command of the Gerudo, Ganondorf being her only superior. She has a second-in-command",FALSE,,yes,yes,
Navi,Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,Navi  is a recurring character in The Legend of Zelda series. She is a Fairy who serves as Link's companion in his quest to save Hyrule. ,FALSE,,yes,yes,
Osfala,Hylian,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Osfala is a character in A Link Between Worlds. He is a headstrong young man and Sahasrahla's apprentice. He is the second descendant of the original ,FALSE,,yes,yes,
Oshus,Deity (Appears ,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,"Oshus, also known as the Ocean King, is a character in Phantom Hourglass. He watches over the World of the Ocean King. He is the creator of the Phanto",FALSE,,yes,yes,
Pamela,Human,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Pamela is a character in Majora's Mask. She is the daughter of a research scientist at the Music Box House in Ikana Canyon. When her father succumbs t,FALSE,,yes,yes,
Princess Hilda,Hylian,Female,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"Princess Hilda, also known simply as Hilda, is the princess of Lorule and a principal character in A Link Between Worlds. As she appears as a darker, ",FALSE,,yes,yes,
Rael,Lokomo,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Rael is a character in Spirit Tracks. He is a member of the Lokomo race and Guardian of the Sand Realm who resides in the Sand Sanctuary. Like the res,FALSE,,yes,yes,
Rafton,Human,Male,The Legend of Zelda: Oracle of Ages,2001,1,The Legend of Zelda: Oracle of Ages,Rafton is a raft maker in the past of Oracle of Ages. He lives in a small house south of the Black Tower in Lynna Village and builds a Raft for Link t,FALSE,,yes,yes,
Ralph,Human,Male,The Legend of Zelda: Oracle of Ages,2001,1,The Legend of Zelda: Oracle of Ages,"Ralph is character in Oracle of Ages. He is Nayru's childhood friend and loyal guardian. Although he is stubborn and hotheaded, rarely pondering the c",FALSE,,yes,yes,
Romanos,Human,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,"Romanos is a character in Phantom Hourglass. He lives on Molida Island with his mother. Romanos acts rudely towards Link at first, but he eventually h",FALSE,,yes,yes,
Royal Engineer,,,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,"Royal Engineer, also known as Train Engineer, is a title in Spirit Tracks. It is given those in charge of transporting both people and goods via train",TRUE,no_race,yes,yes,
Scarper,Human,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Scarper is a medium bodyguard with a lazy personality found on the second continent of Freshly-Picked Tingle's Rosy Rupeeland. Looks like he’s deep in,FALSE,,yes,yes,
Season Spirit,,,The Legend of Zelda: Oracle of Seasons,2001,1,The Legend of Zelda: Oracle of Seasons,The Season Spirits are four fairy-like beings acting as the source of Seasons and perhaps even the oracle Din's power. Each corner of the Temple of Se,TRUE,no_race,yes,yes,
Shurmak,,Female,Zelda's Adventure,1995,1,Zelda's Adventure,"Shurmak is a character in Zelda's Adventure. She is Princess Zelda's guide through Tolemac, and gives her advice on navigating the land and its shrine",TRUE,no_race,yes,yes,
Steem,Lokomo,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Steem is a character from Spirit Tracks. He is a member of the Lokomo race and Guardian of the Snow Realm who resides in the Snow Sanctuary. Like the ,FALSE,,yes,yes,
Tonpei,Human?,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Tonpei is a small bodyguard with a lazy personality found on the second continent of Freshly-Picked Tingle's Rosy Rupeeland. He is the founder of the ,FALSE,,yes,yes,
Town Guard,,Male,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,"The Town Guard is a character in Freshly-Picked Tingle's Rosy Rupeeland. His job is to protect the town, although he has also travelled out into the w",TRUE,no_race,yes,yes,
Uncle Rupee,,,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Uncle Rupee is a character in Freshly-Picked Tingle's Rosy Rupeeland. He promises Tingle entrance to the paradise of Rupeeland if he is able to collec,TRUE,no_race,yes,yes,
Wizzro,,Male,Hyrule Warriors,2014,1,Hyrule Warriors,"Wizzro, also known as the Dark Wizard, is an antagonist in Hyrule Warriors. In the version 1.3.0 update, he is also a playable Warrior. ",TRUE,no_race,yes,yes,
Yokan,,Male,Zelda: The Wand of Gamelon,1993,1,Zelda: The Wand of Gamelon,Yokan is a character in The Wand of Gamelon. He is a man who Zelda encounters several times on her adventure in Gamelon. ,TRUE,no_race,yes,yes,
Yuga,,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"Yuga is an evil sorcerer and one of the two primary antagonists of A Link Between Worlds. At the beginning of the game, Yuga hunts the descendants of ",TRUE,no_race,yes,yes,
Zant,Twili,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,"Zant  is one of two main antagonists in Twilight Princess. He is the self-proclaimed King of Twilight, although Midna claims he is the King of Shadows",FALSE,,yes,yes,
Zonma,Human,Female,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,"Zonma is found on the first continent of Freshly-Picked Tingle's Rosy Rupeeland. She is considered a medium bodyguard with a combative personality, me",FALSE,,yes,yes,
Zora Link,Zora,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Zora Link is one of the forms Link can transform into in Majora's Mask, achieved by wearing the Zora Mask. It is one of four Mask transformations in t",FALSE,,yes,yes,
Epona,,Female,The Legend of Zelda: Ocarina of Time,1998,5,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap; The Legend of Zelda: Twilight Princess; The Legend of Zelda: Breath of the Wild,Epona  is a recurring character in The Legend of Zelda series. ,TRUE,no_race_but_recurring,review,review,
King Zora,Zora,Male,The Legend of Zelda: A Link to the Past,1992,4,The Legend of Zelda: A Link to the Past; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Twilight Princess,King Zora is a recurring character in The Legend of Zelda series. He is the leader of the Zora race. ,FALSE,,review,review,
Goron Elder,Goron,Male,The Legend of Zelda: Majora's Mask,2000,3,The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Spirit Tracks,Goron Elders are recurring characters in The Legend of Zelda series. ,FALSE,,review,review,
Ingo,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: A Link Between Worlds,Ingo is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Kaepora Gaebora,,Neuter,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Four Swords Adventures,Kaepora Gaebora  is a recurring character in The Legend of Zelda series. ,TRUE,no_race_but_recurring,review,review,
Knuckle,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,3,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap,Knuckle is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Mamamu Yan,Hylian,Female,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Ages,Mamamu Yan is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Salvatore,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,3,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: Phantom Hourglass,Salvatore is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Stockwell,Human,Male,The Legend of Zelda: Oracle of Seasons,2001,3,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: The Minish Cap,Stockwell is a recurring character in the The Legend of Zelda series. He is a shopkeeper and proprietor. ,FALSE,,review,review,
Bremor,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,2,The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap,Bremor is a recurring character in The Legend of Zelda series. Bremor goes unnamed in Majora's Mask. ,FALSE,,review,review,
Coliseum Receptionist,Human,Male,The Legend of Zelda: A Link Between Worlds,2013,2,The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Tri Force Heroes,"The Coliseum Receptionist, also known as Captain, is a recurring character in The Legend of Zelda series. ",FALSE,,review,review,
Dina,Hylian,Female,The Legend of Zelda: The Minish Cap,2005,2,The Legend of Zelda: The Minish Cap; The Legend of Zelda: Breath of the Wild,Dina is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Doyle,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,2,The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap,Doyle is a recurring character in The Legend of Zelda series. Doyle goes unnamed in Majora's Mask. ,FALSE,,review,review,
Flat,,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Flat is a recurring character in The Legend of Zelda series. ,TRUE,no_race,review,review,
Gorman,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,2,The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap,Gorman is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Great Fairy of Courage,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Courage is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Great Fairy of Power,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Power is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Great Fairy of Wisdom,Great Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Great Fairy of Wisdom is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Honey,Hylian,,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Honey is a character in The Legend of Zelda series. Honey goes unnamed in Ocarina of Time. ,FALSE,,review,review,
Jim,Hylian,Male,The Legend of Zelda: Majora's Mask,2000,2,The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap,Jim is a recurring character in The Legend of Zelda series.  ,FALSE,,review,review,
Joel,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: The Minish Cap,Joel is a recurring character in the The Legend of Zelda series. ,FALSE,,review,review,
King of Red Lions,,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures,The King of Red Lions is a recurring character in The Legend of Zelda series. ,TRUE,no_race,review,review,
Linebeck,Hylian,Male,The Legend of Zelda: Phantom Hourglass,2007,2,The Legend of Zelda: Phantom Hourglass; The Legend of Zelda: Spirit Tracks,Linebeck is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Maggie,Hylian,Female,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: The Minish Cap,Maggie is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Maku Tree,,Male,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,The Maku Tree is a recurring character in The Legend of Zelda series. ,TRUE,no_race,review,review,
Medigoron,Goron,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Medigoron is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Mimi, ,Female,The Legend of Zelda: A Link Between Worlds,2013,2,The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Tri Force Heroes,"Mimi, also known simply as the Girl, is a recurring character in The Legend of Zelda series. ",TRUE,no_race,review,review,
Pierre,Scarecrow,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Pierre is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Poe Collector, ,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Poe Collector is a recurring character in The Legend of Zelda series. ,TRUE,no_race,review,review,
Queen Ambi,Human,Female,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,Queen Ambi is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Sharp,,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,Sharp is a recurring character in The Legend of Zelda series. ,TRUE,no_race,review,review,
Sturgeon,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: The Minish Cap,Sturgeon is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Twin Jugglers,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,2,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask,The Twin Jugglers are a recurring group in The Legend of Zelda series. The Twin Juggler go unnamed in Majora's Mask. ,FALSE,,review,review,
Zill,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,2,The Legend of Zelda: The Wind Waker; The Legend of Zelda: The Minish Cap,Zill is a recurring character in The Legend of Zelda series. ,FALSE,,review,review,
Anche,Gerudo,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,Anche is a character in Breath of the Wild. ,TRUE,minimal_description,review,review,
Ancient Oven,,,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,The Ancient Oven is a character in Breath of the Wild. ,TRUE,no_race,review,review,
